"filename", "language", "Markdown", "JavaScript", "XML", "CSS", "HTML", "SCSS", "JSON", "JavaScript React", "Log", "comment", "blank", "total"
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\assets\icons\telegram.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\assets\icons\tick.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\assets\icons\tick_white.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\assets\icons\twitter.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\assets\icons\walletconnect.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\assets\icons\warning.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\assets\images\back1.svg", "XML", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 1, 41
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\assets\images\back2.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\assets\images\back3.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\assets\images\back4.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\assets\images\back5.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
